Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Last_Update
Greenland,Denmark,71.7069,-42.6043,11,0,11,0,2020-04-27 2:30:33
Alaska,US,65.50815459,-151.3907387,1,0,0,1,2020-04-27 2:30:52
,Iceland,64.9631,-19.0208,1792,10,1608,174,2020-04-27 2:30:33
Alaska,US,64.90320724,-164.0353804,1,0,0,1,2020-04-27 2:30:52
Northwest Territories,Canada,64.8255,-124.8457,5,0,0,5,2020-04-27 2:30:55
Alaska,US,64.80726247,-146.5692662,80,1,0,79,2020-04-27 2:30:52
Yukon,Canada,64.2823,-135,11,0,0,11,2020-04-27 2:30:55
Alaska,US,63.87692095,-143.2127643,1,0,0,1,2020-04-27 2:30:52
Alaska,US,62.31305045,-149.5741743,20,0,0,20,2020-04-27 2:30:52
,Finland,61.92411,25.748151,4576,190,2500,1886,2020-04-27 2:30:33
Faroe Islands,Denmark,61.8926,-6.9118,187,0,178,9,2020-04-27 2:30:33
,Russia,61.52401,105.318756,80949,747,6767,73435,2020-04-27 2:30:33
Alaska,US,61.14998174,-149.1426986,168,4,0,164,2020-04-27 2:30:52
Alaska,US,60.90980451,-159.8561831,1,0,0,1,2020-04-27 2:30:52
,Norway,60.472,8.4689,7527,201,32,7294,2020-04-27 2:30:33
Alaska,US,60.24429722,-151.5388884,19,0,0,19,2020-04-27 2:30:52
,Sweden,60.128161,18.643501,18640,2194,1005,15441,2020-04-27 2:30:33
,Estonia,58.5953,25.0136,1643,49,233,1361,2020-04-27 2:30:33
Alaska,US,58.45031811,-134.200436,27,0,0,27,2020-04-27 2:30:52
Alaska,US,57.65529415,-153.7493579,1,0,0,1,2020-04-27 2:30:52
Alaska,US,57.13978948,-132.9540995,3,0,0,3,2020-04-27 2:30:52
,Latvia,56.8796,24.6032,812,12,267,533,2020-04-27 2:30:33
,Denmark,56.2639,9.5018,8575,422,5805,2348,2020-04-27 2:30:33
Alaska,US,55.76261984,-133.0511621,2,0,0,2,2020-04-27 2:30:52
Alaska,US,55.57445008,-130.975561,16,0,0,16,2020-04-27 2:30:52
,United Kingdom,55.3781,-3.436,152840,20732,0,132108,2020-04-27 2:30:33
,Lithuania,55.1694,23.8813,1438,41,467,930,2020-04-27 2:30:33
Isle of Man,United Kingdom,54.2361,-4.5481,308,18,247,43,2020-04-27 2:30:33
Alberta,Canada,53.9333,-116.5765,4480,73,0,4407,2020-04-27 2:30:55
Manitoba,Canada,53.7609,-98.8139,271,6,0,265,2020-04-27 2:30:55
British Columbia,Canada,53.7267,-127.6476,1948,100,0,1848,2020-04-27 2:30:55
,Belarus,53.7098,27.9534,10463,72,1695,8696,2020-04-27 2:30:33
,Ireland,53.1424,-7.6921,19262,1087,9233,8942,2020-04-27 2:30:33
Newfoundland and Labrador,Canada,53.1355,-57.6604,258,3,0,255,2020-04-27 2:30:55
Quebec,Canada,52.9399,-73.5491,24109,1516,0,22593,2020-04-27 2:30:55
Saskatchewan,Canada,52.9399,-106.4509,353,4,0,349,2020-04-27 2:30:55
,Netherlands,52.1326,5.2913,37845,4475,0,33370,2020-04-27 2:30:33
,Poland,51.9194,19.1451,11617,535,2265,8817,2020-04-27 2:30:33
Ontario,Canada,51.2538,-85.3232,15568,960,0,14608,2020-04-27 2:30:55
,Germany,51.165691,10.451526,157770,5976,112000,39794,2020-04-27 2:30:33
,Belgium,50.8333,4.469936,46134,7094,10785,28255,2020-04-27 2:30:33
,Czechia,49.8175,15.473,7404,220,2545,4639,2020-04-27 2:30:33
,Luxembourg,49.8153,6.1296,3723,88,3104,531,2020-04-27 2:30:33
Channel Islands,United Kingdom,49.3723,-2.3644,525,35,332,158,2020-04-27 2:30:33
Washington,US,48.82227976,-121.7490018,288,27,0,261,2020-04-26 0:00:00
North Dakota,US,48.8149387,-103.4873611,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,48.79094471,-102.5182117,3,0,0,3,2020-04-27 2:30:52
Minnesota,US,48.77754106,-96.78317184,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,48.77501878,-95.81079919,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,48.77245354,-99.84097493,1,0,0,1,2020-04-27 2:30:52
Idaho,US,48.76684761,-116.4630179,0,0,0,0,2020-04-27 2:30:52
North Dakota,US,48.76623521,-97.5523809,1,0,0,1,2020-04-27 2:30:52
Montana,US,48.70513576,-112.9934235,6,0,0,6,2020-04-27 2:30:52
,Slovakia,48.669,19.699,1379,18,394,967,2020-04-27 2:30:33
Montana,US,48.65577551,-111.6942414,29,6,0,23,2020-04-27 2:30:52
Montana,US,48.62879827,-110.1129252,1,0,0,1,2020-04-27 2:30:52
Washington,US,48.60182783,-122.96745,14,0,0,14,2020-04-26 0:00:00
Montana,US,48.56084317,-111.024307,1,0,0,1,2020-04-27 2:30:52
Washington,US,48.54855019,-119.7387224,19,1,0,18,2020-04-26 0:00:00
Montana,US,48.54265777,-115.4046155,7,1,0,6,2020-04-27 2:30:52
Washington,US,48.53234021,-117.2741804,2,0,0,2,2020-04-26 0:00:00
Washington,US,48.48171488,-121.766131,299,11,0,288,2020-04-26 0:00:00
Washington,US,48.4711431,-118.5154041,1,0,0,1,2020-04-26 0:00:00
Washington,US,48.40035475,-117.8542701,9,1,0,8,2020-04-26 0:00:00
,Ukraine,48.3794,31.1656,8617,209,840,7568,2020-04-27 2:30:33
North Dakota,US,48.36876964,-97.72574783,4,0,0,4,2020-04-27 2:30:52
Minnesota,US,48.35825983,-96.37017407,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,48.34522353,-103.4793387,10,0,0,10,2020-04-27 2:30:52
Idaho,US,48.29996017,-116.6017932,4,0,0,4,2020-04-27 2:30:52
Montana,US,48.29607488,-105.0079268,7,0,0,7,2020-04-27 2:30:52
Montana,US,48.29575866,-114.0520569,37,2,0,35,2020-04-27 2:30:52
North Dakota,US,48.26886249,-98.72223879,3,0,0,3,2020-04-27 2:30:52
North Dakota,US,48.24977025,-99.96407787,2,0,0,2,2020-04-27 2:30:52
Minnesota,US,48.24539665,-93.78352843,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,48.23104458,-100.6324822,1,1,0,0,2020-04-27 2:30:52
Montana,US,48.22773388,-112.2252703,2,0,0,2,2020-04-27 2:30:52
North Dakota,US,48.22390169,-101.5436763,21,1,0,20,2020-04-27 2:30:52
North Dakota,US,48.20197971,-102.3555315,33,0,0,33,2020-04-27 2:30:52
Washington,US,48.14713305,-122.5216407,160,9,0,151,2020-04-26 0:00:00
Minnesota,US,48.06642577,-96.0370814,1,0,0,1,2020-04-27 2:30:52
Washington,US,48.04754642,-123.9226319,15,0,0,15,2020-04-26 0:00:00
Washington,US,48.04615983,-121.7170703,2311,104,0,2207,2020-04-26 0:00:00
,Kazakhstan,48.0196,66.9237,2717,25,682,2010,2020-04-27 2:30:33
Minnesota,US,47.97373527,-94.93732139,6,0,0,6,2020-04-27 2:30:52
North Dakota,US,47.9226426,-98.19038437,1,0,0,1,2020-04-27 2:30:52
North Dakota,US,47.92093639,-97.45450447,195,0,0,195,2020-04-27 2:30:52
Minnesota,US,47.87197525,-96.09561104,1,0,0,1,2020-04-27 2:30:52
Washington,US,47.87046092,-120.6173956,91,5,0,86,2020-04-26 0:00:00
Heilongjiang,China,47.862,127.7615,936,13,556,367,2020-04-27 0:29:26
Montana,US,47.78668011,-104.5610786,3,0,0,3,2020-04-27 2:30:52
Minnesota,US,47.77372465,-96.40134647,23,0,0,23,2020-04-27 2:30:52
Washington,US,47.75003077,-123.5609704,28,0,0,28,2020-04-26 0:00:00
North Dakota,US,47.7413337,-103.395905,12,0,0,12,2020-04-27 2:30:52
Washington,US,47.7361335,-119.692937,72,1,0,71,2020-04-26 0:00:00
North Dakota,US,47.71701474,-98.90432337,1,0,0,1,2020-04-27 2:30:52
Idaho,US,47.67282258,-116.7020872,61,0,0,61,2020-04-27 2:30:52
